,aid,date,event,gender,gradeLevel,meet,result,state
20,610752,2010-Apr-24,4x55 Shuttle Hurdles,f,12th Grade,"Cline Stansberry InvitationalHolly Curtis, Jamie Barr, Kaity Robinson, Hattie Hutson",1:17.60,WV
21,610752,2010-May-12,4x55 Shuttle Hurdles,f,12th Grade,"WVSSAC Region 1A ChampionshipsHolly Curtis, Julia Zorn, Jamie Barr, Hattie Hutson",1:14.34,WV
22,610752,2010-May-22,4x100 Shuttle Hurdles,f,12th Grade,"WVSSAC State MeetHolly Curtis, Julia Zorn, Jamie Barr, Hattie Hutson",1:11.73,WV
23,610752,2009-Mar-27,800 Meters,f,11th Grade,Doddridge Season Opener,2:47.5h,WV
24,610752,2009-Mar-31,800 Meters,f,11th Grade,LKC Quad @ Doddridge ,2:40.1h,WV
25,610752,2009-May-8,800 Meters,f,11th Grade,Little Kanawha Conference Championships,NT,WV
26,610752,2009-Mar-27,1600 Meters,f,11th Grade,Doddridge Season Opener,6:06.8hSR,WV
27,610752,2009-May-8,1600 Meters,f,11th Grade,Little Kanawha Conference Championships,NT,WV
28,610752,2008-May-17,1600 Meters,f,10th Grade,West Virginia State Championships - A,5:48.03,WV
29,1022323,2009-Apr-16,1600 Meters,f,?,FHSAA 2A District 4,5:48.49,FL
30,1022323,2009-Apr-16,3200 Meters,f,?,FHSAA 2A District 4,12:49.22,FL
31,7732064,2016-Apr-14,100 Meters,m,12th Grade,@TCC vs TCW,NT,MI
32,7732064,2016-Apr-26,100 Meters,m,12th Grade,TC West vs Cadillac,12.83,MI
33,7732064,2016-May-11,100 Meters,m,12th Grade,TC West vs Cadillac,12.63,MI
34,7732064,2016-May-17,100 Meters,m,12th Grade,Golden Baton Meet vs. TCW@ TCC,12.82,MI
35,7732064,2016-Apr-14,200 Meters,m,12th Grade,@TCC vs TCW,NT,MI
36,7732064,2016-Apr-26,200 Meters,m,12th Grade,TC West vs Cadillac,26.94c,MI
37,7732064,2016-May-11,200 Meters,m,12th Grade,TC West vs Cadillac,27.32,MI
38,7732064,2016-May-17,200 Meters,m,12th Grade,Golden Baton Meet vs. TCW@ TCC,26.15,MI
39,7732064,2016-Apr-14,Long Jump,m,12th Grade,@TCC vs TCW,ND,MI
40,7732064,2016-May-11,Long Jump,m,12th Grade,TC West vs Cadillac,16' 7,MI
41,7732064,2016-May-13,Long Jump,m,12th Grade,Traverse City West Invitational,16' 7,MI
42,7732064,2016-May-17,Long Jump,m,12th Grade,Golden Baton Meet vs. TCW@ TCC,16' 3.5,MI
43,7732064,2015-Apr-14,100 Meters,m,11th Grade,Traverse City Central vs TC West,12.94c,MI
44,7732064,2015-Apr-29,100 Meters,m,11th Grade,Gaylord/Cadillac/TCWest,13.34c,MI
45,7732064,2015-May-6,100 Meters,m,11th Grade,Alpena/TCWest/Petoskey,12.74c,MI
46,7732064,2015-May-12,100 Meters,m,11th Grade,Cadillac vs West,12.68SR,MI
47,7732064,2015-Apr-14,200 Meters,m,11th Grade,Traverse City Central vs TC West,26.54cSR,MI
48,7732064,2015-Apr-29,200 Meters,m,11th Grade,Gaylord/Cadillac/TCWest,27.34c,MI
49,7732064,2015-May-12,200 Meters,m,11th Grade,Cadillac vs West,26.79,MI
50,7732064,2015-Apr-14,Long Jump,m,11th Grade,Traverse City Central vs TC West,15' 6,MI
51,7732064,2015-Apr-29,Long Jump,m,11th Grade,Gaylord/Cadillac/TCWest,15' 2,MI
52,7732064,2015-May-6,Long Jump,m,11th Grade,Alpena/TCWest/Petoskey,16' 3.75SR,MI
53,7732064,2015-May-12,Long Jump,m,11th Grade,Cadillac vs West,15' 6,MI
54,302609,2008-Mar-27,100 Meters,m,12th Grade,Stadium vs Olympia,12.74c,WA
55,302609,2008-Apr-3,100 Meters,m,12th Grade,Bellarmine vs Olympia,12.14c,WA
56,302609,2008-Apr-16,100 Meters,m,12th Grade,Olympia intrasquad,12.24c,WA
57,302609,2008-Apr-3,400 Meters,m,12th Grade,Bellarmine vs Olympia,53.84c,WA
58,302609,2008-Apr-23,400 Meters,m,12th Grade,"Foss, Wilson vs Olympia",55.08,WA
59,302609,2008-Apr-19,DMR 1200-400-800-1600m,m,12th Grade,"Pasco Invitational Track MeetNate Brennand, Samuel Fleckenstein09, Ted Knudsen, Luke Talcott",11:56.78,WA
60,5450341,2013-Feb-28,800 Meters,f,10th Grade,El Monte vs Pioneer ,2:49.4h,CA
61,5450341,2013-Feb-28,1600 Meters,f,10th Grade,El Monte vs Pioneer ,6:26.1h,CA
62,12555068,1201-Dec-8,55 Meter Dash,m,?,PSAL Night at the Sprints,8.70,NY
63,12555068,1201-Jan-15,55 Meter Dash,m,?,PSAL Martin Luther King Jr Relays,8.44,NY
64,12555068,1201-Mar-4,55 Meter Dash,m,?,PSAL Frosh Soph Championships,7.91,NY
65,4449408,2016-Mar-5,"110m Hurdles - 39""",m,?,Landmark HS Meet,14.65,GA
66,4449408,2016-Mar-12,"110m Hurdles - 39""",m,?,Landmark Meet,15.02,GA
67,4449408,2016-Mar-19,"110m Hurdles - 39""",m,?,Landmark Meet #4,14.86,GA
68,4449408,2016-Apr-16,"110m Hurdles - 39""",m,?,Landmark Meet #7,15.09,GA
69,4449408,2016-Apr-19,"110m Hurdles - 39""",m,?,GA 1A Private Area 3,14.69,GA
70,4449408,2016-Mar-5,"300m Hurdles - 36""",m,?,Landmark HS Meet,40.28,GA
71,4449408,2016-Mar-12,"300m Hurdles - 36""",m,?,Landmark Meet,40.12,GA
72,4449408,2016-Mar-19,"300m Hurdles - 36""",m,?,Landmark Meet #4,39.48,GA
73,4449408,2016-Apr-8,"300m Hurdles - 36""",m,?,Smiths Station Panther Invitational,38.83,GA
74,4449408,2016-Apr-19,"300m Hurdles - 36""",m,?,GA 1A Private Area 3,38.82,GA
75,4449408,2016-Mar-5,Pole Vault,m,?,Landmark HS Meet,13' 0,GA
76,4449408,2016-Mar-12,Pole Vault,m,?,Landmark Meet,13' 0,GA
77,4449408,2016-Mar-19,Pole Vault,m,?,Landmark Meet #4,12' 6,GA
78,4449408,2016-Apr-8,Pole Vault,m,?,Smiths Station Panther Invitational,13' 6,GA
79,4449408,2016-Apr-16,Pole Vault,m,?,Landmark Meet #7,13' 6,GA
80,4449408,2016-Apr-19,Pole Vault,m,?,GA 1A Private Area 3,13' 6,GA
81,4449408,2016-Apr-30,Pole Vault,m,?,GHSA 1A Private and Public Sectional,11' 0,GA
82,4449408,2016-May-14,Pole Vault,m,?,GHSA Boys 1A-Private State Championships,14' 0,GA
83,4449408,2014-May-10,"110m Hurdles - 39""",m,8th Grade,GHSA Boys 1A-Private State Championships,15.27 (.4)SR,GA
84,4449408,2014-May-10,"300m Hurdles - 36""",m,8th Grade,GHSA Boys 1A-Private State Championships,39.26SR,GA
85,4449408,2014-May-10,Pole Vault,m,8th Grade,GHSA Boys 1A-Private State Championships,11' 6SR,GA
86,4449408,2013-May-4,400 Meters,m,8th Grade,GHSA Boys 1A State Championships,51.01,GA
87,4449408,2013-May-4,800 Meters,m,8th Grade,GHSA Boys 1A State Championships,2:02.83,GA
88,4449408,2013-May-4,Pole Vault,m,8th Grade,GHSA Boys 1A State Championships,11' 0SR,GA
89,4449408,2012-Apr-20,"100m Hurdles - 33""",m,8th Grade,Georgia Middle School T&F State Championships,14.80,GA
90,4449408,2012-Apr-20,"100m Hurdles - 33""",m,8th Grade,Georgia Middle School T&F State Championships,14.37,GA
91,4449408,2012-Apr-20,"300m Hurdles - 30""",m,8th Grade,Georgia Middle School T&F State Championships,41.07,GA
92,4449408,2012-Apr-20,Pole Vault,m,8th Grade,Georgia Middle School T&F State Championships,12' 1,GA
93,8073516,2016-Feb-27,200 Meters,m,10th Grade,Saddle-Up Invitational,27.13 (-.3)SR,CA
94,8073516,2016-Feb-27,400 Meters,m,10th Grade,Saddle-Up Invitational,59.97,CA
95,8073516,2016-Mar-2,400 Meters,m,10th Grade,Heritage vs La Quinta,59.57,CA
96,8073516,2016-Mar-12,400 Meters,m,10th Grade,Aztec Invitational,57.87,CA
97,8073516,2015-Apr-30,200 Meters,m,9th Grade,La Quinta at Palm Desert,25.70,CA
98,8073516,2015-Apr-9,400 Meters,m,9th Grade,La Quinta vs. Palm Springs,58.73SR,CA
99,7716612,2018-Mar-24,100 Meters,f,Senior,UCR Spring Classic Invitational,12.64,CA
100,7716612,2018-Mar-31,100 Meters,f,Senior,Sacramento State MONDO Team Challenge,12.58 (1.6,CA
101,7716612,2018-Mar-17,"100m Hurdles - 33""",f,Senior,UC Irvine Spring Break Classic,14.04 (1.1),CA
102,7716612,2018-Mar-24,"100m Hurdles - 33""",f,Senior,UCR Spring Classic Invitational,14.09,CA
103,7716612,2018-Mar-31,"100m Hurdles - 33""",f,Senior,Sacramento State MONDO Team Challenge,14.06 (-1.4),CA
104,7716612,2018-Apr-14,"100m Hurdles - 33""",f,Senior,Triton Invitational (Day 2),13.98 (1.5),CA
105,7716612,2018-Apr-19,"100m Hurdles - 33""",f,Senior,Pacific Coast Intercollegiate,13.77 (2.9),CA
106,7716612,2018-Apr-20,"100m Hurdles - 33""",f,Senior,60th Annual Mt. SAC Relays (College/Elite Day 2),14.06 (.4),CA
107,7716612,2018-Apr-21,"100m Hurdles - 33""",f,Senior,Beach Invitational (Day 2),13.95 (-.2),CA
108,7716612,2018-Apr-28,"100m Hurdles - 33""",f,Senior,Steve Scott Invitational (Day 2),13.82 (2.1),CA
109,7716612,2018-May-12,"100m Hurdles - 33""",f,Senior,Big West Outdoor Track & Field Championships,13.79,CA
110,7716612,2018-May-12,"100m Hurdles - 33""",f,Senior,Big West Outdoor Track & Field Championships,13.72SR,CA
111,7716612,2018-Apr-14,"400m Hurdles - 30""",f,Senior,Triton Invitational (Day 2),1:02.72,CA
112,7716612,2018-Apr-21,"400m Hurdles - 30""",f,Senior,Beach Invitational (Day 2),1:02.24,CA
113,7716612,2018-Apr-28,"400m Hurdles - 30""",f,Senior,Steve Scott Invitational (Day 2),1:04.06,CA
114,7716612,2018-May-12,"400m Hurdles - 30""",f,Senior,Big West Outdoor Track & Field Championships,1:03.12,CA
115,7716612,2018-May-12,"400m Hurdles - 30""",f,Senior,Big West Outdoor Track & Field Championships,1:01.14,CA
116,7716612,1201-Jan-19,60 Meter Dash,f,Senior,Lumberjack Team Challenge,7.98,CA
117,7716612,1201-Feb-10,60 Meter Dash,f,Senior,Don Kirby Collegiate Invitational (Day 2),7.95SR,CA
118,7716612,1201-Jan-27,"60m Hurdles - 33""",f,Senior,UW Invite,8.69SR,CA
119,7716612,1201-Jan-27,"60m Hurdles - 33""",f,Senior,UW Invite,8.79,CA
120,7716612,1201-Feb-10,"60m Hurdles - 33""",f,Senior,Don Kirby Collegiate Invitational (Day 2),8.79,CA
121,7716612,2017-Mar-11,"100m Hurdles - 33""",f,Junior,Cal State Fullerton Ben Brown Invitational,13.96 (.3),CA
122,7716612,2017-Mar-18,"100m Hurdles - 33""",f,Junior,UC Irvine Spring Break Collegiate Classic (Day 2),15.39 (2.0),CA
123,7716612,2017-Apr-1,"100m Hurdles - 33""",f,Junior,Sacramento State MONDO Team Challenge,13.90 (.9),CA
124,7716612,2017-Apr-7,"100m Hurdles - 33""",f,Junior,Big West Challenge,13.72 (1.7),CA
125,7716612,2017-Apr-14,"100m Hurdles - 33""",f,Junior,59th Annual Mt. SAC Relays (Day 2),14.15 (-1.9),CA
126,7716612,2017-Apr-15,"100m Hurdles - 33""",f,Junior,Beach Invitational (Day 2),13.84 (3.2),CA
127,7716612,2017-Apr-29,"100m Hurdles - 33""",f,Junior,Steve Scott Invitational (Day 2),13.75 (3.2),CA
128,7716612,2017-May-13,"100m Hurdles - 33""",f,Junior,Big West Track & Field Championships,13.38 (1.3,CA
129,7716612,2017-May-13,"100m Hurdles - 33""",f,Junior,Big West Track & Field Championships,DQ (1.6),CA
130,7716612,2017-May-26,"100m Hurdles - 33""",f,Junior,NCAA DI West Region Track and Field Championships (Day 2),DNF (3.7),CA
131,7716612,2017-Mar-11,"400m Hurdles - 30""",f,Junior,Cal State Fullerton Ben Brown Invitational,1:02.36,CA
132,7716612,2017-Apr-1,"400m Hurdles - 30""",f,Junior,Sacramento State MONDO Team Challenge,1:01.87,CA
133,7716612,2017-Apr-7,"400m Hurdles - 30""",f,Junior,Big West Challenge,2:02.23,CA
134,7716612,2017-Apr-29,"400m Hurdles - 30""",f,Junior,Steve Scott Invitational (Day 2),1:01.39SR,CA
135,7716612,2017-May-13,"400m Hurdles - 30""",f,Junior,Big West Track & Field Championships,1:02.56,CA
136,7716612,2017-May-13,"400m Hurdles - 30""",f,Junior,Big West Track & Field Championships,1:02.79,CA
137,7716612,1201-Jan-21,60 Meter Dash,f,Junior,Lumberjack Team Challenge,7.98,CA
138,7716612,1201-Jan-28,60 Meter Dash,f,Junior,UW Indoor Invitational (Day 2),8.02,CA
139,7716612,1201-Feb-10,60 Meter Dash,f,Junior,Don Kirby Collegiate Invitational (Day 1),7.91SR,CA
140,7716612,1201-Feb-24,60 Meter Dash,f,Junior,2017 MPSF Indoor T&F Championships (Day 1),7.91,CA
141,7716612,1201-Jan-21,"60m Hurdles - 33""",f,Junior,Lumberjack Team Challenge,8.73,CA
142,7716612,1201-Jan-28,"60m Hurdles - 33""",f,Junior,UW Indoor Invitational (Day 2),8.87,CA
143,7716612,1201-Jan-28,"60m Hurdles - 33""",f,Junior,UW Indoor Invitational (Day 2),8.82,CA
144,7716612,1201-Feb-10,"60m Hurdles - 33""",f,Junior,Don Kirby Collegiate Invitational (Day 1),8.69,CA
145,7716612,1201-Feb-24,"60m Hurdles - 33""",f,Junior,2017 MPSF Indoor T&F Championships (Day 1),DNF,CA
146,7716612,2016-Mar-12,"100m Hurdles - 33""",f,Sophomore,UC Irvine 4-Way Meet,14.45 (.0),CA
147,7716612,2016-Mar-19,"100m Hurdles - 33""",f,Sophomore,UC Irvine Spring Break Invitational,14.45 (.7),CA
148,7716612,2016-Apr-16,"100m Hurdles - 33""",f,Sophomore,Beach Invitational (Day 2),14.41 (.4),CA
149,7716612,2016-Apr-30,"100m Hurdles - 33""",f,Sophomore,Steve Scott Invitational (Day 2),14.26 (.6),CA
150,7716612,2016-May-14,"100m Hurdles - 33""",f,Sophomore,Big West Outdoor Championships,13.85 (2.8)SR,CA
151,7716612,2016-May-14,"100m Hurdles - 33""",f,Sophomore,Big West Outdoor Championships,13.90 (3.2),CA
152,7716612,2016-Mar-19,"400m Hurdles - 30""",f,Sophomore,UC Irvine Spring Break Invitational,1:03.02,CA
153,7716612,2016-Apr-1,"400m Hurdles - 30""",f,Sophomore,UCLA Legends Meet,1:01.73,CA
154,7716612,2016-Apr-30,"400m Hurdles - 30""",f,Sophomore,Steve Scott Invitational (Day 2),1:01.66SR,CA
155,7716612,2016-May-14,"400m Hurdles - 30""",f,Sophomore,Big West Outdoor Championships,1:03.68,CA
156,7716612,1201-Jan-30,60 Meter Dash,f,Sophomore,UW Invitational (Day 2),8.08,CA
157,7716612,1201-Feb-26,60 Meter Dash,f,Sophomore,MPSF Indoor T&F Championships (Day 1),7.89,CA
158,7716612,1201-Jan-30,"60m Hurdles - 33""",f,Sophomore,UW Invitational (Day 2),9.11,CA
159,7716612,1201-Feb-12,"60m Hurdles - 33""",f,Sophomore,Don Kirby Collegiate Invitational (Day 1),8.77SR,CA
160,7716612,1201-Feb-26,"60m Hurdles - 33""",f,Sophomore,MPSF Indoor T&F Championships (Day 1),8.88,CA
161,7716612,2015-Mar-21,"100m Hurdles - 33""",f,Freshman,UCI Spring Break Invite,14.65,CA
162,7716612,2015-Apr-18,"100m Hurdles - 33""",f,Freshman,LBSU Beach Invitational,14.88,CA
163,7716612,2015-May-2,"100m Hurdles - 33""",f,Freshman,21st adidas/Steve Scott Invitational (Day 2),14.33 (1.6),CA
164,7716612,2015-May-16,"100m Hurdles - 33""",f,Freshman,Big West Championships,14.30 (.4)SR,CA
165,7716612,2015-May-16,"100m Hurdles - 33""",f,Freshman,Big West Championships,14.38 (1.1),CA
166,7716612,2015-Mar-21,"400m Hurdles - 30""",f,Freshman,UCI Spring Break Invite,1:04.04,CA
167,7716612,2015-Apr-18,"400m Hurdles - 30""",f,Freshman,LBSU Beach Invitational,1:09.35,CA
168,7716612,2015-May-2,"400m Hurdles - 30""",f,Freshman,21st adidas/Steve Scott Invitational (Day 2),1:03.51SR,CA
169,7716612,2015-May-16,"400m Hurdles - 30""",f,Freshman,Big West Championships,1:03.79,CA
170,7716612,1201-Feb-14,"60m Hurdles - 33""",f,Freshman,Don Kirby Elite Invitational (Day 2),9.20SR,CA
171,3858057,1201-Jan-21,1 Mile,m,Freshman,Iowa State Open,4:26.85,IA
172,3858057,1201-Jan-28,3000 Meters,m,Freshman,Bill Bergan Invitational,8:49.03,IA
173,3858057,1201-Jan-21,DMR 1200-400-800-1600m,m,Freshman,"Iowa State OpenAlex Dillenbeck, Brandon Barnes, Alec Bollman, Josh Heitkamp",10:10.61,IA
174,10840741,1201-Dec-23,55 Meter Dash,m,?,Merli Invitational,7.46,NJ
175,8053829,2015-Apr-13,100 Meters,m,7th Grade,CSAF Regionals,17.24c,TX
176,8053829,2015-Apr-13,Discus - 1kg,m,7th Grade,CSAF Regionals,55' 4,TX
177,8053829,2015-Apr-13,Long Jump,m,7th Grade,CSAF Regionals,9' 3,TX
178,8053829,2015-Apr-13,Triple Jump,m,7th Grade,CSAF Regionals,22' 0.5,TX
179,1609755,1201-Dec-11,1 Mile,f,?,Catholic Holiday Meet,6:55.11,RI
180,1609755,1201-Dec-19,1000 Meters,f,?,New England Catholic Inv,4:05.80,RI
181,3812797,2012-Mar-31,Long Jump,f,Junior,Yellow Jacket Invitational,5.72m,TN
182,3812797,2012-Mar-31,Triple Jump,f,Junior,Yellow Jacket Invitational,11.65m (.3,TN
183,3812797,1201-Dec-10,Long Jump,f,Junior,Christmas Invitational,6.00m,TN
184,3812797,1201-Jan-7,Long Jump,f,Junior,Ed Temple Classic,6.01m,TN
185,3812797,1201-Jan-28,Long Jump,f,Junior,Rod McCravy Memorial,5.51m,TN
186,3812797,1201-Dec-10,Triple Jump,f,Junior,Christmas Invitational,12.36m,TN
187,3812797,1201-Jan-7,Triple Jump,f,Junior,Ed Temple Classic,12.30m,TN
188,3812797,1201-Jan-28,Triple Jump,f,Junior,Rod McCravy Memorial,12.17m,TN
189,205904,2008-May-24,"110m Hurdles - 39""",m,11th Grade,KHSAA Class 3A Region 2 Championships,16.86,KY
190,5967063,2017-Mar-29,800 Meters,f,9th Grade,2017 Charger Preview - Div. III/IV,3:10.99,MI
191,5967063,2017-Apr-19,800 Meters,f,9th Grade,SCAA League,3:01.9h,MI
192,5967063,2017-Apr-19,800 Meters,f,9th Grade,SCAA League,3:01.9h,MI
193,5967063,2017-May-3,800 Meters,f,9th Grade,SCAA Jamboree @ C-F,3:03.00,MI
194,5967063,2017-May-10,800 Meters,f,9th Grade,SCAA East Division Championship,3:02.32,MI
195,5967063,2017-May-13,800 Meters,f,9th Grade,Hillsdale Invitational,2:57.04,MI
196,5967063,2017-Apr-19,1600 Meters,f,9th Grade,SCAA League,6:38.7h,MI
197,5967063,2017-Apr-19,1600 Meters,f,9th Grade,SCAA League,6:38.7h,MI
198,5967063,2017-Apr-22,1600 Meters,f,9th Grade,Ralph Crume Invite,6:31.36,MI
199,5967063,2017-Apr-26,1600 Meters,f,9th Grade,SCAA Jamboree @ Pittsford,6:50.16,MI
200,5967063,2017-May-3,1600 Meters,f,9th Grade,SCAA Jamboree @ C-F,6:34.00,MI
201,5967063,2017-May-10,1600 Meters,f,9th Grade,SCAA East Division Championship,6:39.54,MI
202,5967063,2017-May-13,1600 Meters,f,9th Grade,Hillsdale Invitational,6:26.28,MI
203,5967063,2017-May-23,1600 Meters,f,9th Grade,SCAA Conference Championship,6:19.63,MI
204,5967063,2017-May-30,1600 Meters,f,9th Grade,Hillsdale Area Best,6:23.75,MI
205,5967063,2017-Apr-15,3200 Meters,f,9th Grade,Warrior Inv.,15:54.28,MI
206,5967063,2016-May-13,400 Meters,f,8th Grade,SCAA Junior High Championship,1:16.77,MI
207,5967063,2016-Apr-27,1600 Meters,f,8th Grade,Camden SCAA Meet,6:57.0h,MI
208,5967063,2016-May-13,1600 Meters,f,8th Grade,SCAA Junior High Championship,6:49.68SR,MI
209,5967063,2016-Apr-28,3200 Meters,f,8th Grade,Union City Invite,14:53.9h,MI
210,5967063,2016-Apr-27,"55m Hurdles - 30""",f,8th Grade,Camden SCAA Meet,10.54c,MI
211,5967063,2016-Apr-27,Long Jump,f,8th Grade,Camden SCAA Meet,10' 5,MI
212,5967063,2016-May-13,Long Jump,f,8th Grade,SCAA Junior High Championship,10' 5.5,MI
213,5967063,2014-May-9,400 Meters,f,6th Grade,SCAA MS Field Day,1:22.66SR,MI
214,5967063,2014-May-5,800 Meters,f,6th Grade,SCAA MS @ Litchfield,3:12.4h,MI
215,5967063,2014-Apr-25,1600 Meters,f,6th Grade,Union City Invitational,16:00.0h,MI
216,5967063,2014-May-9,1600 Meters,f,6th Grade,SCAA MS Field Day,6:32.87,MI
217,5962300,1201-Jan-17,1 Mile,f,Freshman,Trine Open,6:43.75,IN
218,5962300,1201-Jan-31,1 Mile,f,Freshman,Zimmer Invite,6:33.47,IN
219,5962300,1201-Feb-14,1 Mile,f,Freshman,Trine Invitational,6:27.99,IN
220,5962300,1201-Feb-21,1 Mile,f,Freshman,Jon and Carol Liechty Alumni Invitationa,6:40.98,IN
221,3746727,2012-May-1,1600 Meters,m,12th Grade,Mid-Piedmont 3A Conference Championship ,4:56.0h,NC
222,3746727,2012-May-12,1600 Meters,m,12th Grade,NCHSAA 3A Regional Meet,4:52.00,NC
223,3746727,2012-May-1,3200 Meters,m,12th Grade,Mid-Piedmont 3A Conference Championship ,10:45.0h,NC
224,1092241,2011-May-11,100 Meters,f,12th Grade,Monmouth County Championships,14.77SR,NJ
225,1092241,2011-May-27,100 Meters,f,12th Grade,NJSIAA Grp II Central Sectional,15.47 (-2.1),NJ
226,1092241,2011-May-28,100 Meters,f,12th Grade,NJSIAA Grp II Central Sectional,15.47 (-2.1),NJ
227,1092241,2011-May-11,200 Meters,f,12th Grade,Monmouth County Championships,30.82SR,NJ
228,1092241,2011-May-27,200 Meters,f,12th Grade,NJSIAA Grp II Central Sectional,32.37 (-.1),NJ
229,1092241,2011-May-28,200 Meters,f,12th Grade,NJSIAA Grp II Central Sectional,32.37 (-.1),NJ
230,1092241,2010-May-22,100 Meters,f,11th Grade,NJSIAA Central Group 2 State Sectionals,14.58 (-.2)SR,NJ
231,1092241,2010-May-22,200 Meters,f,11th Grade,NJSIAA Central Group 2 State Sectionals,29.90 (-1.2)SR,NJ
232,1092241,1201-Jan-17,DMR 1200-400-800-1600m,f,11th Grade,"NJSIAA Relay Championships [15-17]Michaella Heavey, Karen Cindea, Brier Hawkins, Alex Maas",14:18.91,NJ
233,1092241,2009-May-7,100 Meters,f,10th Grade,Monmouth County Championships,13.98,NJ
234,1092241,2009-May-23,100 Meters,f,10th Grade,NJSIAA Group II Central Sectional - Day 2,14.07 (-.2),NJ
235,1092241,2009-May-7,200 Meters,f,10th Grade,Monmouth County Championships,29.40,NJ
236,1092241,2009-May-16,200 Meters,f,10th Grade,Shore Conference Championships,29.38,NJ
237,1092241,2009-May-23,200 Meters,f,10th Grade,NJSIAA Group II Central Sectional - Day 2,28.83 (.6,NJ
238,1092241,2009-May-2,SMR 1600m,f,10th Grade,"Monmouth County RelaysLaura Parker, Karen Cindea, Julia McGuire, Melissa Pavia",4:41.35,NJ
239,12880216,2018-Apr-19,100 Meters,f,11th Grade,River Ridge Dual w/ Clover Park,15.98,WA
240,12880216,2018-Apr-26,100 Meters,f,11th Grade,"River Ridge, Renton and Eatonville at South Sound Stadium",16.12,WA
241,12880216,2018-May-1,100 Meters,f,11th Grade,Bob Atwell Invitational,16.37,WA
242,12880216,2018-Mar-14,200 Meters,f,11th Grade,South Sound Jamboree,34.60,WA
243,12880216,2018-Mar-22,200 Meters,f,11th Grade,Orting/River Ridge @ Highline,33.93,WA
244,12880216,2018-Mar-29,200 Meters,f,11th Grade,RR Vs Steilacoom & Shelton Vs North Thurston - South Sound Stadium,33.74,WA
245,12880216,2018-Apr-12,200 Meters,f,11th Grade,Fife Open ,33.56,WA
246,12880216,2018-Apr-19,200 Meters,f,11th Grade,River Ridge Dual w/ Clover Park,33.49,WA
247,12880216,2018-Apr-26,200 Meters,f,11th Grade,"River Ridge, Renton and Eatonville at South Sound Stadium",32.87,WA
248,12880216,2018-May-1,200 Meters,f,11th Grade,Bob Atwell Invitational,33.35,WA
249,12880216,2018-Mar-14,400 Meters,f,11th Grade,South Sound Jamboree,1:13.77,WA
250,12880216,2018-Mar-22,400 Meters,f,11th Grade,Orting/River Ridge @ Highline,1:15.18,WA
251,12880216,2018-Mar-29,400 Meters,f,11th Grade,RR Vs Steilacoom & Shelton Vs North Thurston - South Sound Stadium,1:15.20,WA
252,12880216,2018-Apr-12,400 Meters,f,11th Grade,Fife Open ,1:13.67,WA
253,12880216,2018-Apr-19,400 Meters,f,11th Grade,River Ridge Dual w/ Clover Park,1:13.61,WA
254,12880216,2018-Apr-26,400 Meters,f,11th Grade,"River Ridge, Renton and Eatonville at South Sound Stadium",1:12.35,WA
